Surname,Date,HRdelta
P1,140805,5.174995932423997
P1,140806,1.1450233222206094
P1,140809,3.3140008401043133
P1,140813,-1.5224042320959228
P1,140818,-1.4940150650937483
P1,140819,-2.7009537808550945
P1,140825,-0.0033029481558770613
P1,140826,-1.1394225226140904
P1,140828,2.212311024995804
P1,140902,-5.763282490787006
P1,140903,-2.2015001213016396
P1,140904,-3.3193598037664933
P1,140908,-3.6633521911312954
P1,140909,-2.3434341963524545
P1,140910,-2.386626405372951
P1,140912,-2.50746300952774
P1,140928,-1.5263161320362002
P1,141009,1.526844746650525
P1,141010,-0.42452123655147034
P1,141013,-8.042643502891593
P1,141014,-3.116188727512494
P1,141015,-3.432915959277146
P1,141028,-5.110793845331543
P1,141029,4.786672974230598
P1,141102,2.7873472888657744
P1,141112,4.167145624810573
P1,141113,1.3750992094148131
P1,141114,-4.994996617250327
P1,141117,-3.8603860002312302
P1,141118,-1.5225983196510384
P1,141207,-0.11262669107404122
P1,141218,2.2283881735234274
P1,141229,1.901216674995439
P1,150103,-2.354613548347828
P1,150106,3.2129344569785587
P1,150114,1.6828467423491844
P1,150116,-3.457572474845648
P1,150122,1.3551464290715671
P1,150123,-4.943213556656914
P1,150127,-1.874263642242692
P1,150225,1.0617037991180496
P1,150226,-2.2536555140055774
P1,150305,0.7661788012755011
P1,150317,-4.345356983758933
P1,150326,0.2181203379349673
P1,150401,-1.372029754598529
P1,150513,-0.16655955740991146
P2,140630,1.5517747351563287
P2,140701,3.7961017231159673
P2,140702,1.8701054624479685
P2,140703,2.887637157194888
P2,140704,-0.6485512315447259
P2,140705,-0.4128625978707401
P2,140706,-2.3683173860569013
P2,140707,1.5492702141677885
P2,140708,4.176894255958885
P2,140710,-6.5401776999397825
P2,140711,-7.894846461003915
P2,140715,2.116141716919728
P2,140716,-5.082638276201642
P2,140717,-2.5290522473073005
P2,140721,1.342567602744424
P2,140722,-0.7723868018944735
P2,140727,2.17386742272776
P2,140728,0.11901325230756754
P2,140731,10.129957664776867
P2,140806,-1.9392561197183227
P2,140809,0.9348698840403955
P2,140818,2.762273484237369
P2,140819,-2.0171713293168025
P2,140825,-0.021237611254107946
P2,140826,1.917610638590908
P2,140828,-1.4054856349749183
P2,140902,-0.9986544015530257
P2,140904,-0.6720994298150819
P2,140908,-1.783023732728367
P2,140909,1.735110573979206
P2,140910,-2.758741032193896
P2,141003,4.091965510432008
P2,141008,1.07836058305152
P2,141009,0.5121643910146787
P2,141010,0.25978853412756564
P2,141013,-4.1097239064551445
P2,141014,-0.3790611116837444
P2,141015,1.2587681977707135
P2,141022,-1.8885155776042097
P2,141028,-1.471868037840764
P2,141029,-0.4435490454968895
P2,141102,0.6284260439823726
P2,141106,-6.104600449240706
P2,141112,4.076690498485576
P2,141113,-0.7405313660404858
P2,141114,0.645875570768041
P2,141117,0.7481305665511258
P2,141118,1.1706432368068747
P2,141204,4.286722600468877
P2,141207,1.8534030870672495
P2,141211,1.6969874675506134
P2,141215,-6.32027887883541
P2,141218,6.272525211875376
P2,141227,7.74032094054877
P2,141228,3.620696062725216
P2,141229,3.2500003607890107
P2,150103,-1.186466722940196
P2,150106,1.3430056280144242
P2,150111,-1.6941169339959619
P2,150114,1.5837863986261833
P2,150116,1.655675730939393
P2,150119,-1.1218440782591301
P2,150123,-1.684179982433065
P2,150127,0.6382662351706152
P2,150209,1.0763236942500214
P2,150218,0.453935611885413
P2,150225,-1.6633660654169944
P2,150226,-1.746956671155549
P2,150302,0.19871295564580294
P2,150312,-0.39990187047190773
P2,150317,2.9556723460543424
P2,150326,1.297869424009652
P2,150401,-0.6856779621389535
P2,150513,-0.29440802083080087
